"cohortName","ruleSequence","ruleName","cohortId"
"COVID ID1 v1",0,"age >=18",1
"COVID ID1 v1",1,"has >=365d of prior observation",1
"COVID ID1 v1",2,"does not have hospitalization for COVID19 in the 6 months preceding admission",1
"COVID ID2 v1",0,"age >=18",2
"COVID ID2 v1",1,"does not have hospitalization for COVID19 in the 6 months preceding admission",2
"COVID ID3 v1",0,"age >=18",3
"COVID ID3 v1",1,"has >=365d of prior observation",3
"COVID ID3 v1",2,"does not have hospitalization for COVID19 in the 6 months preceding admission",3
"COVID ID4 v1",0,"age >=18",4
"COVID ID4 v1",1,"does not have hospitalization for COVID19 in the 6 months preceding admission",4
